level,precision,recall,f1,support
1,0.6190476190476191,0.527027027027027,0.5693430656934306,148
2,0.15567103479439676,0.8058479532163743,0.26093542889604243,855
3,0.7611357124251107,0.4266316250547525,0.5467814371257484,6849
4,0.2892857142857143,0.1797337278106509,0.22171532846715328,1352
5,0.466824644549763,0.43875278396436523,0.452353616532721,449
