level,precision,recall,f1,support
1,0.37988826815642457,0.918918918918919,0.5375494071146245,148
2,0.24669603524229075,0.5894736842105263,0.34782608695652173,855
3,0.7713724205699312,0.34384581690757776,0.47566148252878204,6849
4,0.15514275885792914,0.33357988165680474,0.21178680441418174,1352
5,0.17182662538699692,0.49443207126948774,0.2550258472142447,449
