level,precision,recall,f1,support
1,0.591304347826087,0.9714285714285714,0.7351351351351352,70
2,0.3709677419354839,0.32857142857142857,0.3484848484848485,70
3,0.2972972972972973,0.4714285714285714,0.36464088397790057,70
4,0.4827586206896552,0.2,0.2828282828282828,70
5,0.5757575757575758,0.2714285714285714,0.36893203883495146,70
