level,precision,recall,f1,support
1,0.49382716049382713,0.5714285714285714,0.5298013245033113,70
2,0.2597402597402597,0.5714285714285714,0.35714285714285715,70
3,0.3018867924528302,0.22857142857142856,0.2601626016260163,70
4,0.23809523809523808,0.07142857142857142,0.10989010989010989,70
5,0.5853658536585366,0.34285714285714286,0.43243243243243246,70
